GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
NAB2,ENST00000342556,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,754,_,1,siUPF1-Stab
NAB2,ENST00000300131,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,755,_,1,siUPF1-Stab
NFKBIA,ENST00000554001,Lykke-Andersen et al. 2014; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,1075,548,0,siUPF1-Stab
NFKBIA,ENST00000557389,Lykke-Andersen et al. 2014; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,468,_,0,siUPF1-Stab
NOP2,ENST00000399466,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,122,_,0,siUPF1-Stab
NOP2,ENST00000545915,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,261,_,0,siUPF1-Stab
NOP2,ENST00000382421,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,122,_,0,siUPF1-Stab
NOP2,ENST00000540228,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,259,_,0,siUPF1-Stab
NOP2,ENST00000545200,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,784,_,0,siUPF1-Stab
NOP2,ENST00000322166,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,122,_,0,siUPF1-Stab
NOP2,ENST00000537442,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,130,_,0,siUPF1-Stab
PIGC,ENST00000367728,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,272,_,8,siUPF1-Stab
PIM3,ENST00000360612,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,953,_,0,siUPF1-Stab
PLEKHG3,ENST00000247226,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,3189,_,2,siUPF1-Stab
PLEKHG3,ENST00000484731,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,642,_,2,siUPF1-Stab
PMEPA1,ENST00000341744,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3661,_,1,siUPF1-Stab
PMEPA1,ENST00000395816,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3661,_,0,siUPF1-Stab
PMEPA1,ENST00000265626,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3655,_,2,siUPF1-Stab
PPP1R15A,ENST00000200453,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,84,_,1,siUPF1-Stab
PPP1R26,ENST00000604351,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,753,_,2,siUPF1-Stab
PPP3CC,ENST00000240139,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,323,_,0,siUPF1-Stab
PPP3CC,ENST00000518852,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,26,_,0,siUPF1-Stab
PRDM11,ENST00000424263,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,179,_,1,siUPF1-Stab
RARA,ENST00000394089,Hurt et al. 2013; Tani et al. 2012; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life; siUPF1 RNA half-life",mouse ES; human HeLa; human U2OS,105,_,1,siUPF1-Stab
RARA,ENST00000394081,Hurt et al. 2013; Tani et al. 2012; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life; siUPF1 RNA half-life",mouse ES; human HeLa; human U2OS,569,_,0,siUPF1-Stab
RNF24,ENST00000358395,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2642,_,1,siUPF1-Stab
RNF24,ENST00000336095,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,6754,_,2,siUPF1-Stab
RP9,ENST00000297157,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,437,_,0,siUPF1-Stab
RPP38,ENST00000378202,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,89,_,0,siUPF1-Stab
RPP38,ENST00000378201,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,71,_,0,siUPF1-Stab
RRP8,ENST00000534343,Schmidt et al. 2015; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human U2OS,226,_,1,siUPF1-Stab
SERTAD1,ENST00000357949,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1244,_,1,siUPF1-Stab
SESN2,ENST00000253063,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1689,_,1,siUPF1-Stab
SLC35E4,ENST00000406566,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1248,_,1,siUPF1-Stab
SLC5A10,ENST00000317977,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,2164,_,4,siUPF1-Stab
SLC5A10,ENST00000417251,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,181,_,0,siUPF1-Stab
SPATA2L,ENST00000289805,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,991,_,0,siUPF1-Stab
SPATA2L,ENST00000335360,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,463,_,0,siUPF1-Stab
SRC,ENST00000373558,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,2671,_,0,siUPF1-Stab
SRC,ENST00000373578,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,2671,_,0,siUPF1-Stab
SURF6,ENST00000372022,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1153,_,1,siUPF1-Stab
THAP7,ENST00000215742,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,108,_,2,siUPF1-Stab
THAP7,ENST00000399133,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,103,_,3,siUPF1-Stab
TMEM11,ENST00000317635,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1044,_,3,siUPF1-Stab
TMEM138,ENST00000542946,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2322,_,1,siUPF1-Stab
TMEM138,ENST00000381787,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,502,_,3,siUPF1-Stab
TMEM138,ENST00000278826,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,800,_,3,siUPF1-Stab
TMEM57,ENST00000374343,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1743,_,0,siUPF1-Stab
TOE1,ENST00000372090,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,273,_,1,siUPF1-Stab
TSSC4,ENST00000451491,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,252,_,0,siUPF1-Stab
UBE2G1,ENST00000572484,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,574,_,4,siUPF1-Stab
UBE2G1,ENST00000571980,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,519,299,0,siUPF1-Stab
USP36,ENST00000449938,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1013,_,10,siUPF1-Stab
USP36,ENST00000312010,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1537,_,1,siUPF1-Stab
USP36,ENST00000589225,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2295,2103,0,siUPF1-Stab
USP36,ENST00000591942,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,154,138,0,siUPF1-Stab
USP36,ENST00000589424,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,46,_,0,siUPF1-Stab
YDJC,ENST00000398873,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,670,_,0,siUPF1-Stab
ZBTB45,ENST00000354590,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,524,_,4,siUPF1-Stab
ZBTB45,ENST00000594051,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,524,_,0,siUPF1-Stab
ZKSCAN5,ENST00000394170,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1573,_,1,siUPF1-Stab
ZKSCAN5,ENST00000451158,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,430,_,0,siUPF1-Stab
ZNF142,ENST00000449707,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,423,_,2,siUPF1-Stab
ZNF239,ENST00000374446,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,359,_,2,siUPF1-Stab
ZNF239,ENST00000306006,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,359,_,3,siUPF1-Stab
ZNF263,ENST00000538765,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,471,_,0,siUPF1-Stab
ZNF296,ENST00000303809,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,101,_,1,siUPF1-Stab
ZNF3,ENST00000424697,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1169,_,0,siUPF1-Stab
ZNF3,ENST00000303915,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1164,_,4,siUPF1-Stab
ZNF410,ENST00000554582,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,333,257,2,siUPF1-Stab
ZNF410,ENST00000442160,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,331,_,6,siUPF1-Stab
ZNF410,ENST00000324593,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,737,_,5,siUPF1-Stab
ZNF410,ENST00000555044,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,970,_,5,siUPF1-Stab
ZNF410,ENST00000334521,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,706,_,5,siUPF1-Stab
ZNF410,ENST00000540593,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,56,_,6,siUPF1-Stab
ZNF410,ENST00000556396,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,1413,1075,2,siUPF1-Stab
ZNF446,ENST00000594369,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,504,_,0,siUPF1-Stab
ZNF446,ENST00000596341,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,502,_,8,siUPF1-Stab
ZNF446,ENST00000335841,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,761,_,0,siUPF1-Stab
ZNF473,ENST00000595661,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1717,_,3,siUPF1-Stab
ZNF473,ENST00000594968,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,188,91,1,siUPF1-Stab
ZNF581,ENST00000588537,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,456,_,1,siUPF1-Stab
ZNF581,ENST00000270451,Schmidt et al. 2015; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HeLa; human HeLa,457,_,1,siUPF1-Stab
ZNF777,ENST00000247930,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,413,_,0,siUPF1-Stab
